[INFO] vocab_size = 99
[INFO] Parameters: 19.05M
[INFO] tokens / iter = 65536
[INFO] total iters (≈1 epoch) = 14953
iter 0: loss 4.5968, time 0.4s
iter 100: loss 3.0538, time 13.1s
iter 200: loss 3.0578, time 25.8s
iter 300: loss 3.0890, time 38.6s
iter 400: loss 2.3327, time 51.4s
iter 500: loss 1.7766, time 64.2s
iter 600: loss 1.4789, time 77.1s
iter 700: loss 1.3820, time 89.9s
iter 800: loss 1.2906, time 102.8s
iter 900: loss 1.2384, time 115.7s
iter 1000: loss 1.1584, time 128.6s
iter 1100: loss 1.1203, time 141.4s
iter 1200: loss 1.0983, time 154.3s
iter 1300: loss 1.0726, time 167.1s
iter 1400: loss 1.0488, time 180.0s
iter 1500: loss 0.9906, time 192.8s
iter 1600: loss 0.9998, time 205.7s
iter 1700: loss 1.0032, time 218.6s
iter 1800: loss 0.9596, time 231.5s
iter 1900: loss 0.9520, time 244.3s
iter 2000: loss 0.9499, time 257.2s
iter 2100: loss 0.9025, time 270.1s
iter 2200: loss 0.9374, time 282.9s
iter 2300: loss 0.8962, time 295.8s
iter 2400: loss 0.8804, time 308.7s
iter 2500: loss 0.8801, time 321.6s
iter 2600: loss 0.8452, time 334.5s
iter 2700: loss 0.8304, time 347.3s
iter 2800: loss 0.8042, time 360.2s
iter 2900: loss 0.7982, time 373.1s
iter 3000: loss 0.7844, time 386.0s
iter 3100: loss 0.7741, time 398.9s
iter 3200: loss 0.7510, time 411.8s
iter 3300: loss 0.7476, time 424.7s
iter 3400: loss 0.7918, time 437.6s
iter 3500: loss 0.6986, time 450.4s
iter 3600: loss 0.7349, time 463.4s
iter 3700: loss 0.6900, time 476.2s
iter 3800: loss 0.6901, time 489.1s
iter 3900: loss 0.6997, time 502.1s
iter 4000: loss 0.6771, time 515.0s
iter 4100: loss 0.6670, time 527.9s
iter 4200: loss 0.6620, time 540.8s
iter 4300: loss 0.6858, time 553.8s
iter 4400: loss 0.6674, time 566.7s
iter 4500: loss 0.6682, time 579.6s
iter 4600: loss 0.6752, time 592.5s
iter 4700: loss 0.6440, time 605.5s
iter 4800: loss 0.6423, time 618.4s
iter 4900: loss 0.6366, time 631.4s
