[INFO] vocab_size = 99
[INFO] Parameters: 6.41M
[INFO] tokens / iter = 65536
[INFO] total iters (≈1 epoch) = 14953
iter 0: loss 4.5950, time 0.3s
iter 100: loss 3.0607, time 5.8s
iter 200: loss 3.0830, time 11.3s
iter 300: loss 2.8634, time 16.7s
iter 400: loss 2.2389, time 22.2s
iter 500: loss 1.8743, time 27.7s
iter 600: loss 1.7524, time 33.5s
iter 700: loss 1.5743, time 39.0s
iter 800: loss 1.5029, time 44.7s
iter 900: loss 1.3943, time 50.3s
iter 1000: loss 1.3538, time 55.8s
iter 1100: loss 1.3098, time 61.4s
iter 1200: loss 1.2292, time 67.0s
iter 1300: loss 1.1870, time 72.6s
iter 1400: loss 1.1384, time 78.3s
iter 1500: loss 1.1172, time 83.7s
iter 1600: loss 1.1093, time 89.2s
iter 1700: loss 1.0581, time 94.6s
iter 1800: loss 1.0458, time 100.2s
iter 1900: loss 0.9957, time 105.6s
iter 2000: loss 0.9805, time 111.0s
iter 2100: loss 1.0009, time 116.6s
iter 2200: loss 0.9875, time 122.1s
iter 2300: loss 0.9823, time 127.8s
iter 2400: loss 0.9144, time 133.2s
iter 2500: loss 0.9524, time 138.6s
iter 2600: loss 0.9009, time 144.1s
iter 2700: loss 0.8601, time 149.6s
iter 2800: loss 0.8806, time 155.1s
iter 2900: loss 0.8419, time 160.9s
iter 3000: loss 0.8284, time 166.5s
iter 3100: loss 0.8164, time 172.2s
iter 3200: loss 0.8066, time 177.4s
iter 3300: loss 0.7882, time 182.9s
iter 3400: loss 0.7764, time 188.4s
iter 3500: loss 0.8141, time 194.0s
iter 3600: loss 0.7768, time 199.6s
iter 3700: loss 0.7419, time 205.2s
iter 3800: loss 0.7142, time 210.6s
iter 3900: loss 0.7510, time 216.2s
iter 4000: loss 0.7193, time 221.9s
iter 4100: loss 0.7127, time 227.5s
iter 4200: loss 0.7120, time 233.1s
iter 4300: loss 0.7399, time 238.7s
iter 4400: loss 0.6890, time 244.3s
iter 4500: loss 0.6714, time 249.9s
iter 4600: loss 0.6898, time 255.7s
iter 4700: loss 0.6809, time 261.1s
iter 4800: loss 0.6568, time 266.5s
iter 4900: loss 0.6670, time 271.9s
iter 5000: loss 0.6870, time 277.5s
iter 5100: loss 0.6854, time 282.9s
iter 5200: loss 0.6177, time 288.6s
iter 5300: loss 0.6248, time 294.2s
iter 5400: loss 0.6606, time 299.8s
iter 5500: loss 0.6430, time 305.4s
iter 5600: loss 0.6569, time 311.0s
iter 5700: loss 0.6526, time 316.6s
iter 5800: loss 0.6287, time 322.2s
iter 5900: loss 0.6440, time 327.9s
iter 6000: loss 0.6434, time 333.4s
iter 6100: loss 0.6446, time 338.9s
iter 6200: loss 0.6464, time 344.3s
iter 6300: loss 0.6207, time 349.6s
iter 6400: loss 0.6060, time 355.2s
iter 6500: loss 0.6430, time 360.6s
iter 6600: loss 0.6812, time 365.9s
iter 6700: loss 0.5620, time 371.4s
iter 6800: loss 0.6104, time 376.7s
iter 6900: loss 0.6345, time 382.4s
iter 7000: loss 0.5850, time 387.9s
iter 7100: loss 0.6133, time 393.3s
iter 7200: loss 0.5941, time 398.8s
iter 7300: loss 0.6184, time 404.2s
iter 7400: loss 0.6146, time 409.7s
iter 7500: loss 0.6006, time 415.2s
iter 7600: loss 0.5827, time 420.3s
iter 7700: loss 0.5872, time 425.8s
iter 7800: loss 0.5868, time 431.2s
iter 7900: loss 0.5772, time 436.5s
