[INFO] vocab_size = 99
[INFO] Parameters: 1.10M
[INFO] tokens / iter = 65536
[INFO] total iters (≈1 epoch) = 14953
iter 0: loss 4.5981, time 0.3s
iter 100: loss 3.1179, time 4.5s
iter 200: loss 3.0884, time 8.8s
iter 300: loss 2.9241, time 13.1s
iter 400: loss 2.2716, time 17.4s
iter 500: loss 1.8837, time 21.8s
iter 600: loss 1.6548, time 26.3s
iter 700: loss 1.5371, time 30.7s
iter 800: loss 1.3897, time 35.0s
iter 900: loss 1.3638, time 39.3s
iter 1000: loss 1.3330, time 43.6s
iter 1100: loss 1.2699, time 47.3s
iter 1200: loss 1.1794, time 51.2s
iter 1300: loss 1.1580, time 55.3s
iter 1400: loss 1.1350, time 59.7s
iter 1500: loss 1.1184, time 64.2s
iter 1600: loss 1.0747, time 68.0s
iter 1700: loss 1.0845, time 71.0s
iter 1800: loss 1.0506, time 75.3s
iter 1900: loss 1.0281, time 79.6s
iter 2000: loss 1.0515, time 83.9s
iter 2100: loss 1.0005, time 88.2s
iter 2200: loss 0.9756, time 92.5s
iter 2300: loss 1.0050, time 96.8s
iter 2400: loss 0.9336, time 101.2s
iter 2500: loss 0.9105, time 105.6s
iter 2600: loss 0.9191, time 109.9s
iter 2700: loss 0.9055, time 114.2s
iter 2800: loss 0.8979, time 118.5s
iter 2900: loss 0.8965, time 122.9s
iter 3000: loss 0.8938, time 127.2s
iter 3100: loss 0.8904, time 131.3s
iter 3200: loss 0.8781, time 134.8s
iter 3300: loss 0.8214, time 138.5s
iter 3400: loss 0.8380, time 142.9s
iter 3500: loss 0.8298, time 147.3s
iter 3600: loss 0.8294, time 151.0s
iter 3700: loss 0.8485, time 155.3s
iter 3800: loss 0.8050, time 159.6s
iter 3900: loss 0.8089, time 163.8s
iter 4000: loss 0.7900, time 167.0s
iter 4100: loss 0.7519, time 169.2s
iter 4200: loss 0.7786, time 171.1s
iter 4300: loss 0.7664, time 173.1s
iter 4400: loss 0.7581, time 176.7s
iter 4500: loss 0.7688, time 180.9s
iter 4600: loss 0.7779, time 185.4s
iter 4700: loss 0.7880, time 189.8s
iter 4800: loss 0.7553, time 193.8s
iter 4900: loss 0.7275, time 198.0s
iter 5000: loss 0.7616, time 202.4s
iter 5100: loss 0.7317, time 206.7s
iter 5200: loss 0.7500, time 210.8s
iter 5300: loss 0.7021, time 214.8s
iter 5400: loss 0.7495, time 219.3s
iter 5500: loss 0.7267, time 223.6s
iter 5600: loss 0.7307, time 227.8s
iter 5700: loss 0.6983, time 232.0s
iter 5800: loss 0.7196, time 236.4s
iter 5900: loss 0.7079, time 240.4s
iter 6000: loss 0.7272, time 244.7s
iter 6100: loss 0.6870, time 249.2s
iter 6200: loss 0.6734, time 253.6s
iter 6300: loss 0.6947, time 257.6s
iter 6400: loss 0.7404, time 262.2s
iter 6500: loss 0.6447, time 266.5s
iter 6600: loss 0.6783, time 270.7s
iter 6700: loss 0.6733, time 274.7s
iter 6800: loss 0.6867, time 278.5s
iter 6900: loss 0.7018, time 282.9s
iter 7000: loss 0.6569, time 287.4s
iter 7100: loss 0.6796, time 291.7s
iter 7200: loss 0.6715, time 295.9s
iter 7300: loss 0.6826, time 300.1s
iter 7400: loss 0.6735, time 304.5s
iter 7500: loss 0.6686, time 308.3s
iter 7600: loss 0.6446, time 312.7s
iter 7700: loss 0.6682, time 317.0s
iter 7800: loss 0.6530, time 321.4s
iter 7900: loss 0.6539, time 325.8s
iter 8000: loss 0.6712, time 330.2s
iter 8100: loss 0.6772, time 334.6s
iter 8200: loss 0.6528, time 338.9s
iter 8300: loss 0.6526, time 343.3s
iter 8400: loss 0.6603, time 347.7s
iter 8500: loss 0.6351, time 352.1s
iter 8600: loss 0.6425, time 356.4s
iter 8700: loss 0.6719, time 361.0s
iter 8800: loss 0.6571, time 365.4s
iter 8900: loss 0.6543, time 369.7s
iter 9000: loss 0.6348, time 374.1s
iter 9100: loss 0.6391, time 378.3s
iter 9200: loss 0.6395, time 382.5s
iter 9300: loss 0.6195, time 387.0s
iter 9400: loss 0.6350, time 391.3s
iter 9500: loss 0.6202, time 395.6s
iter 9600: loss 0.6288, time 399.7s
iter 9700: loss 0.6660, time 404.0s
iter 9800: loss 0.6535, time 408.3s
iter 9900: loss 0.6124, time 412.5s
iter 10000: loss 0.6316, time 416.5s
iter 10100: loss 0.6277, time 420.9s
iter 10200: loss 0.6528, time 425.4s
iter 10300: loss 0.6104, time 428.8s
iter 10400: loss 0.6215, time 432.7s
iter 10500: loss 0.6316, time 437.1s
iter 10600: loss 0.5935, time 441.5s
iter 10700: loss 0.5828, time 445.9s
iter 10800: loss 0.6042, time 450.1s
iter 10900: loss 0.6094, time 454.3s
iter 11000: loss 0.6203, time 458.7s
iter 11100: loss 0.6102, time 463.0s
iter 11200: loss 0.6085, time 467.4s
iter 11300: loss 0.6091, time 471.3s
iter 11400: loss 0.6373, time 475.1s
iter 11500: loss 0.6269, time 479.3s
iter 11600: loss 0.6082, time 483.7s
iter 11700: loss 0.5920, time 488.1s
iter 11800: loss 0.6420, time 491.5s
iter 11900: loss 0.6062, time 495.4s
iter 12000: loss 0.6206, time 499.7s
iter 12100: loss 0.6022, time 503.9s
iter 12200: loss 0.5871, time 508.4s
iter 12300: loss 0.6014, time 512.3s
iter 12400: loss 0.5985, time 516.7s
iter 12500: loss 0.5758, time 521.0s
iter 12600: loss 0.5854, time 525.2s
iter 12700: loss 0.5959, time 529.6s
iter 12800: loss 0.5699, time 533.9s
iter 12900: loss 0.5904, time 538.3s
iter 13000: loss 0.6456, time 542.5s
iter 13100: loss 0.5719, time 546.3s
iter 13200: loss 0.6209, time 550.4s
iter 13300: loss 0.5870, time 554.3s
iter 13400: loss 0.6023, time 558.5s
iter 13500: loss 0.6036, time 562.6s
iter 13600: loss 0.5832, time 566.2s
iter 13700: loss 0.5916, time 570.7s
iter 13800: loss 0.5812, time 575.1s
iter 13900: loss 0.5793, time 579.5s
iter 14000: loss 0.6029, time 583.9s
iter 14100: loss 0.5650, time 588.1s
iter 14200: loss 0.5654, time 592.4s
iter 14300: loss 0.5912, time 596.8s
iter 14400: loss 0.5396, time 601.0s
iter 14500: loss 0.5708, time 605.3s
iter 14600: loss 0.5833, time 609.7s
iter 14700: loss 0.5905, time 613.9s
iter 14800: loss 0.5690, time 618.3s
iter 14900: loss 0.5694, time 622.8s

===== DONE =====
Train loss (last): 0.5799
Val loss: 0.5775
Time / epoch (min): 10.44
