[INFO] vocab_size = 99
[INFO] Parameters: 42.19M
[INFO] tokens / iter = 65536
[INFO] total iters (≈1 epoch) = 14953
iter 0: loss 4.5957, time 0.5s
iter 100: loss 3.0759, time 25.8s
iter 200: loss 2.9515, time 51.3s
iter 300: loss 1.8770, time 76.9s
iter 400: loss 1.5496, time 102.4s
iter 500: loss 1.4514, time 128.0s
iter 600: loss 1.3536, time 153.5s
iter 700: loss 1.4149, time 179.1s
iter 800: loss 1.2462, time 204.6s
iter 900: loss 1.1490, time 230.1s
iter 1000: loss 1.1428, time 255.7s
iter 1100: loss 1.0545, time 281.3s
iter 1200: loss 1.0193, time 306.8s
iter 1300: loss 1.0109, time 332.4s
iter 1400: loss 1.0116, time 357.9s
iter 1500: loss 0.9554, time 383.5s
iter 1600: loss 0.9682, time 409.1s
iter 1700: loss 0.9249, time 434.7s
iter 1800: loss 0.8968, time 460.2s
iter 1900: loss 0.9212, time 485.8s
iter 2000: loss 0.8727, time 511.4s
iter 2100: loss 0.8615, time 537.0s
iter 2200: loss 0.8637, time 562.6s
iter 2300: loss 0.8443, time 588.2s
iter 2400: loss 1.0602, time 613.8s
iter 2500: loss 0.8514, time 639.3s
iter 2600: loss 0.8682, time 664.9s
iter 2700: loss 0.8766, time 690.5s
iter 2800: loss 0.7708, time 716.0s
iter 2900: loss 0.7888, time 741.6s
iter 3000: loss 0.7790, time 767.2s
iter 3100: loss 0.7247, time 792.8s
iter 3200: loss 0.7509, time 818.4s
iter 3300: loss 0.8081, time 843.9s
iter 3400: loss 0.7554, time 869.5s
iter 3500: loss 0.7682, time 895.1s
iter 3600: loss 0.7330, time 920.7s
iter 3700: loss 0.7231, time 946.3s
iter 3800: loss 0.7360, time 971.9s
iter 3900: loss 0.7281, time 997.5s
iter 4000: loss 0.7053, time 1023.1s
iter 4100: loss 0.7232, time 1048.7s
iter 4200: loss 0.6800, time 1074.2s
iter 4300: loss 0.7138, time 1099.8s
iter 4400: loss 0.6839, time 1125.4s
iter 4500: loss 0.6790, time 1151.0s
iter 4600: loss 0.6753, time 1176.6s
iter 4700: loss 0.6707, time 1202.1s
iter 4800: loss 0.6375, time 1227.7s
iter 4900: loss 0.6997, time 1253.3s
iter 5000: loss 0.7091, time 1278.9s
iter 5100: loss 0.6835, time 1304.4s
iter 5200: loss 0.6760, time 1330.0s
iter 5300: loss 0.6470, time 1355.6s
iter 5400: loss 0.6496, time 1381.2s
iter 5500: loss 0.6770, time 1406.7s
iter 5600: loss 0.6925, time 1432.3s
iter 5700: loss 0.6314, time 1457.9s
iter 5800: loss 0.6300, time 1483.5s
iter 5900: loss 0.6356, time 1509.1s
iter 6000: loss 0.6525, time 1534.7s
iter 6100: loss 0.6168, time 1560.3s
iter 6200: loss 0.6330, time 1585.9s
iter 6300: loss 0.5918, time 1611.5s
iter 6400: loss 0.6407, time 1637.0s
iter 6500: loss 0.6282, time 1662.6s
iter 6600: loss 0.6421, time 1688.2s
iter 6700: loss 0.5965, time 1713.8s
iter 6800: loss 0.5961, time 1739.4s
iter 6900: loss 0.6253, time 1765.0s
iter 7000: loss 0.6156, time 1790.6s
iter 7100: loss 0.6165, time 1816.3s
iter 7200: loss 0.6196, time 1841.9s
iter 7300: loss 0.5805, time 1867.5s
iter 7400: loss 0.6127, time 1893.1s
iter 7500: loss 0.6025, time 1918.6s
iter 7600: loss 0.6180, time 1944.2s
iter 7700: loss 0.6170, time 1969.8s
iter 7800: loss 0.5933, time 1995.4s
iter 7900: loss 0.6030, time 2020.9s
iter 8000: loss 0.5914, time 2046.6s
iter 8100: loss 0.6404, time 2072.2s
iter 8200: loss 0.6001, time 2097.8s
iter 8300: loss 0.6018, time 2123.4s
iter 8400: loss 0.5594, time 2149.0s
iter 8500: loss 0.5899, time 2174.5s
iter 8600: loss 0.6070, time 2200.1s
iter 8700: loss 0.6005, time 2225.7s
iter 8800: loss 0.6345, time 2251.3s
iter 8900: loss 0.6073, time 2276.9s
iter 9000: loss 0.5682, time 2302.5s
iter 9100: loss 0.5790, time 2328.1s
iter 9200: loss 0.5855, time 2353.7s
iter 9300: loss 0.5763, time 2379.2s
iter 9400: loss 0.5715, time 2404.8s
iter 9500: loss 0.6160, time 2430.4s
iter 9600: loss 0.5815, time 2456.0s
iter 9700: loss 0.5529, time 2481.6s
iter 9800: loss 0.5330, time 2507.2s
iter 9900: loss 0.5716, time 2532.7s
iter 10000: loss 0.5560, time 2558.3s
iter 10100: loss 0.5420, time 2583.9s
iter 10200: loss 0.5618, time 2609.5s
iter 10300: loss 0.5780, time 2635.1s
iter 10400: loss 0.5396, time 2660.7s
iter 10500: loss 0.5686, time 2686.3s
iter 10600: loss 0.5657, time 2711.8s
iter 10700: loss 0.5736, time 2737.4s
iter 10800: loss 0.5399, time 2763.0s
iter 10900: loss 0.5427, time 2788.6s
iter 11000: loss 0.5418, time 2814.2s
iter 11100: loss 0.5214, time 2839.8s
iter 11200: loss 0.5538, time 2865.4s
iter 11300: loss 0.5703, time 2891.0s
iter 11400: loss 0.5393, time 2916.6s
iter 11500: loss 0.5556, time 2942.2s
iter 11600: loss 0.5564, time 2967.8s
iter 11700: loss 0.5642, time 2993.4s
iter 11800: loss 0.5896, time 3019.0s
iter 11900: loss 0.5533, time 3044.6s
iter 12000: loss 0.5722, time 3070.2s
iter 12100: loss 0.5912, time 3095.8s
iter 12200: loss 0.5681, time 3121.4s
iter 12300: loss 0.5887, time 3147.0s
iter 12400: loss 0.5457, time 3172.6s
iter 12500: loss 0.5198, time 3198.2s
iter 12600: loss 0.5413, time 3223.7s
iter 12700: loss 0.5480, time 3249.3s
iter 12800: loss 0.5361, time 3274.9s
iter 12900: loss 0.5283, time 3300.5s
iter 13000: loss 0.5452, time 3326.1s
iter 13100: loss 0.5283, time 3351.6s
iter 13200: loss 0.5275, time 3377.2s
iter 13300: loss 0.5269, time 3402.8s
iter 13400: loss 0.5496, time 3428.4s
iter 13500: loss 0.5223, time 3454.0s
iter 13600: loss 0.5551, time 3479.6s
iter 13700: loss 0.5225, time 3505.1s
iter 13800: loss 0.5418, time 3530.7s
iter 13900: loss 0.5214, time 3556.3s
iter 14000: loss 0.5312, time 3581.9s
iter 14100: loss 0.5340, time 3607.5s
iter 14200: loss 0.5384, time 3633.1s
iter 14300: loss 0.5334, time 3658.7s
iter 14400: loss 0.5372, time 3684.3s
iter 14500: loss 0.5116, time 3709.9s
iter 14600: loss 0.5151, time 3735.5s
iter 14700: loss 0.5510, time 3761.1s
iter 14800: loss 0.5447, time 3786.7s
iter 14900: loss 0.5207, time 3812.3s

===== DONE =====
Train loss (last): 0.5511
Val loss: 0.5317
Time / epoch (min): 63.91
