Overriding config with config/train_abc_char_large.py:
# config/train_abc_char_large.py
from config.train_abc_char_base import *

out_dir = 'out-abc-char-large'

n_layer = 8
n_head = 8
n_embd = 512
dropout = 0.1

tokens per iteration will be: 65,536
found vocab_size = 99 (inside data/abc_char/meta.pkl)
Initializing a new model from scratch
number of parameters: 25.23M
num decayed parameter tensors: 34, with 25,478,656 parameters
num non-decayed parameter tensors: 17, with 8,704 parameters
using fused AdamW: True
compiling the model... (takes a ~minute)
step 0: train loss 4.7538, val loss 4.7469
iter 0: loss 4.7387, time 21159.32ms, mfu -100.00%
iter 10: loss 2.9872, time 118.08ms, mfu 31.40%
iter 20: loss 2.2519, time 112.11ms, mfu 31.57%
iter 30: loss 1.8435, time 111.73ms, mfu 31.73%
iter 40: loss 1.8228, time 114.64ms, mfu 31.79%
iter 50: loss 1.6567, time 114.41ms, mfu 31.85%
iter 60: loss 1.6235, time 114.16ms, mfu 31.92%
iter 70: loss 1.4855, time 114.64ms, mfu 31.96%
iter 80: loss 1.3914, time 117.69ms, mfu 31.91%
iter 90: loss 1.5431, time 116.07ms, mfu 31.92%
iter 100: loss 1.3956, time 123.42ms, mfu 31.73%
iter 110: loss 1.4565, time 116.93ms, mfu 31.73%
iter 120: loss 1.3393, time 114.28ms, mfu 31.80%
iter 130: loss 1.3896, time 113.27ms, mfu 31.89%
iter 140: loss 1.3826, time 115.62ms, mfu 31.91%
iter 150: loss 1.4296, time 119.17ms, mfu 31.83%
iter 160: loss 1.3992, time 112.04ms, mfu 31.96%
iter 170: loss 1.3406, time 112.39ms, mfu 32.06%
iter 180: loss 1.3549, time 114.31ms, mfu 32.10%
iter 190: loss 1.3726, time 117.05ms, mfu 32.06%
iter 200: loss 1.1827, time 105.09ms, mfu 32.38%
iter 210: loss 1.2953, time 117.88ms, mfu 32.29%
iter 220: loss 1.1974, time 119.52ms, mfu 32.16%
iter 230: loss 1.2767, time 117.13ms, mfu 32.11%
iter 240: loss 1.1357, time 117.54ms, mfu 32.05%
iter 250: loss 1.0978, time 116.29ms, mfu 32.04%
iter 260: loss 1.1560, time 103.17ms, mfu 32.43%
iter 270: loss 1.1617, time 113.11ms, mfu 32.46%
iter 280: loss 1.0740, time 116.25ms, mfu 32.40%
iter 290: loss 1.1077, time 116.85ms, mfu 32.34%
iter 300: loss 1.0876, time 117.66ms, mfu 32.25%
iter 310: loss 0.9627, time 116.60ms, mfu 32.21%
iter 320: loss 0.9260, time 115.09ms, mfu 32.21%
iter 330: loss 0.9624, time 115.93ms, mfu 32.19%
iter 340: loss 0.9374, time 113.30ms, mfu 32.24%
iter 350: loss 1.0163, time 114.14ms, mfu 32.27%
iter 360: loss 0.9180, time 114.89ms, mfu 32.27%
iter 370: loss 1.0726, time 118.46ms, mfu 32.17%
iter 380: loss 0.9226, time 113.20ms, mfu 32.23%
iter 390: loss 0.8171, time 114.37ms, mfu 32.25%
iter 400: loss 0.8601, time 115.28ms, mfu 32.24%
iter 410: loss 0.8165, time 115.27ms, mfu 32.23%
iter 420: loss 0.8004, time 117.38ms, mfu 32.17%
iter 430: loss 0.7875, time 116.12ms, mfu 32.14%
iter 440: loss 0.8357, time 119.54ms, mfu 32.03%
iter 450: loss 0.8346, time 113.88ms, mfu 32.08%
iter 460: loss 0.8400, time 116.72ms, mfu 32.05%
iter 470: loss 0.8180, time 126.46ms, mfu 31.78%
iter 480: loss 0.8136, time 101.54ms, mfu 32.25%
iter 490: loss 0.8212, time 122.91ms, mfu 32.04%
step 500: train loss 0.6976, val loss 0.6980
saving checkpoint to out-abc-char-large
iter 500: loss 0.6357, time 4658.66ms, mfu 28.92%
iter 510: loss 0.7726, time 117.38ms, mfu 29.19%
iter 520: loss 0.7554, time 123.37ms, mfu 29.27%
iter 530: loss 0.6744, time 110.30ms, mfu 29.71%
iter 540: loss 0.8431, time 121.00ms, mfu 29.80%
iter 550: loss 0.6082, time 122.27ms, mfu 29.85%
iter 560: loss 0.7387, time 116.90ms, mfu 30.04%
iter 570: loss 0.6928, time 118.14ms, mfu 30.17%
iter 580: loss 0.6705, time 117.67ms, mfu 30.31%
iter 590: loss 0.6452, time 117.08ms, mfu 30.44%
iter 600: loss 0.7081, time 107.04ms, mfu 30.86%
iter 610: loss 0.6341, time 111.37ms, mfu 31.11%
iter 620: loss 0.7669, time 117.82ms, mfu 31.14%
iter 630: loss 0.6170, time 112.12ms, mfu 31.33%
iter 640: loss 0.6842, time 112.74ms, mfu 31.49%
iter 650: loss 0.6478, time 115.45ms, mfu 31.55%
iter 660: loss 0.6608, time 117.41ms, mfu 31.56%
iter 670: loss 0.6666, time 113.53ms, mfu 31.67%
iter 680: loss 0.6321, time 113.80ms, mfu 31.76%
iter 690: loss 0.6838, time 116.29ms, mfu 31.77%
iter 700: loss 0.6081, time 115.16ms, mfu 31.81%
iter 710: loss 0.5982, time 117.62ms, mfu 31.78%
iter 720: loss 0.5899, time 115.52ms, mfu 31.81%
iter 730: loss 0.6103, time 115.64ms, mfu 31.84%
iter 740: loss 0.5663, time 117.50ms, mfu 31.81%
iter 750: loss 0.6186, time 105.14ms, mfu 32.16%
iter 760: loss 0.6650, time 114.37ms, mfu 32.18%
iter 770: loss 0.6330, time 112.83ms, mfu 32.25%
iter 780: loss 0.6349, time 112.58ms, mfu 32.32%
iter 790: loss 0.6877, time 80.04ms, mfu 33.72%
iter 800: loss 0.6181, time 108.98ms, mfu 33.75%
iter 810: loss 0.5710, time 107.78ms, mfu 33.81%
iter 820: loss 0.4947, time 113.37ms, mfu 33.70%
iter 830: loss 0.6097, time 114.89ms, mfu 33.56%
iter 840: loss 0.5885, time 115.86ms, mfu 33.41%
iter 850: loss 0.5845, time 114.70ms, mfu 33.30%
iter 860: loss 0.6386, time 112.48ms, mfu 33.26%
iter 870: loss 0.6303, time 117.52ms, mfu 33.09%
iter 880: loss 0.6376, time 114.16ms, mfu 33.03%
iter 890: loss 0.5900, time 114.75ms, mfu 32.96%
iter 900: loss 0.5726, time 117.13ms, mfu 32.83%
iter 910: loss 0.5276, time 117.51ms, mfu 32.70%
iter 920: loss 0.5411, time 119.09ms, mfu 32.54%
iter 930: loss 0.6566, time 99.33ms, mfu 33.02%
iter 940: loss 0.5392, time 117.78ms, mfu 32.87%
iter 950: loss 0.6215, time 117.40ms, mfu 32.74%
iter 960: loss 0.5131, time 117.41ms, mfu 32.62%
iter 970: loss 0.5285, time 114.40ms, mfu 32.60%
iter 980: loss 0.5180, time 120.23ms, mfu 32.43%
iter 990: loss 0.5621, time 116.55ms, mfu 32.36%
step 1000: train loss 0.4994, val loss 0.4963
saving checkpoint to out-abc-char-large
iter 1000: loss 0.4495, time 4750.78ms, mfu 29.21%
iter 1010: loss 0.6568, time 119.84ms, mfu 29.38%
iter 1020: loss 0.4594, time 111.90ms, mfu 29.76%
iter 1030: loss 0.4714, time 123.94ms, mfu 29.77%
iter 1040: loss 0.5762, time 116.90ms, mfu 29.97%
iter 1050: loss 0.6707, time 112.73ms, mfu 30.26%
iter 1060: loss 0.4632, time 112.81ms, mfu 30.52%
iter 1070: loss 0.5527, time 117.61ms, mfu 30.62%
iter 1080: loss 0.5480, time 110.85ms, mfu 30.90%
iter 1090: loss 0.5067, time 113.08ms, mfu 31.09%
iter 1100: loss 0.5649, time 118.41ms, mfu 31.11%
iter 1110: loss 0.6083, time 121.90ms, mfu 31.04%
iter 1120: loss 0.4868, time 117.10ms, mfu 31.11%
iter 1130: loss 0.5419, time 118.35ms, mfu 31.13%
iter 1140: loss 0.4893, time 117.39ms, mfu 31.17%
iter 1150: loss 0.5425, time 119.54ms, mfu 31.16%
iter 1160: loss 0.4441, time 117.66ms, mfu 31.19%
iter 1170: loss 0.4461, time 120.15ms, mfu 31.16%
iter 1180: loss 0.5804, time 118.02ms, mfu 31.19%
iter 1190: loss 0.5803, time 118.08ms, mfu 31.21%
iter 1200: loss 0.5180, time 116.45ms, mfu 31.27%
iter 1210: loss 0.5338, time 117.23ms, mfu 31.31%
iter 1220: loss 0.4426, time 118.35ms, mfu 31.31%
iter 1230: loss 0.5451, time 117.11ms, mfu 31.34%
iter 1240: loss 0.5095, time 115.26ms, mfu 31.43%
iter 1250: loss 0.4610, time 119.48ms, mfu 31.39%
iter 1260: loss 0.5981, time 117.41ms, mfu 31.41%
iter 1270: loss 0.5739, time 117.12ms, mfu 31.43%
iter 1280: loss 0.5167, time 117.82ms, mfu 31.44%
iter 1290: loss 0.5090, time 118.54ms, mfu 31.42%
iter 1300: loss 0.4075, time 113.89ms, mfu 31.53%
iter 1310: loss 0.5928, time 119.24ms, mfu 31.49%
iter 1320: loss 0.4194, time 114.20ms, mfu 31.59%
iter 1330: loss 0.4685, time 113.10ms, mfu 31.71%
iter 1340: loss 0.4864, time 119.60ms, mfu 31.64%
iter 1350: loss 0.4727, time 117.55ms, mfu 31.63%
iter 1360: loss 0.5038, time 119.35ms, mfu 31.57%
iter 1370: loss 0.4654, time 120.94ms, mfu 31.48%
iter 1380: loss 0.4432, time 119.32ms, mfu 31.44%
iter 1390: loss 0.5913, time 117.16ms, mfu 31.46%
iter 1400: loss 0.4758, time 110.18ms, mfu 31.68%
iter 1410: loss 0.5269, time 114.78ms, mfu 31.74%
iter 1420: loss 0.4863, time 117.51ms, mfu 31.72%
iter 1430: loss 0.4281, time 117.41ms, mfu 31.71%
iter 1440: loss 0.5243, time 117.45ms, mfu 31.69%
iter 1450: loss 0.4846, time 119.31ms, mfu 31.63%
iter 1460: loss 0.5810, time 106.39ms, mfu 31.95%
iter 1470: loss 0.5052, time 119.73ms, mfu 31.86%
iter 1480: loss 0.4616, time 113.74ms, mfu 31.93%
iter 1490: loss 0.5537, time 115.02ms, mfu 31.96%
step 1500: train loss 0.4400, val loss 0.4403
saving checkpoint to out-abc-char-large
iter 1500: loss 0.4122, time 4776.42ms, mfu 28.84%
iter 1510: loss 0.5505, time 116.82ms, mfu 29.13%
iter 1520: loss 0.4623, time 114.03ms, mfu 29.47%
iter 1530: loss 0.4844, time 111.73ms, mfu 29.84%
iter 1540: loss 0.4521, time 111.30ms, mfu 30.19%
iter 1550: loss 0.4554, time 115.49ms, mfu 30.38%
iter 1560: loss 0.4716, time 89.30ms, mfu 31.49%
iter 1570: loss 0.4732, time 109.25ms, mfu 31.74%
iter 1580: loss 0.5103, time 116.44ms, mfu 31.75%
iter 1590: loss 0.4746, time 114.69ms, mfu 31.81%
iter 1600: loss 0.4879, time 117.59ms, mfu 31.78%
iter 1610: loss 0.4684, time 114.19ms, mfu 31.85%
iter 1620: loss 0.4734, time 117.62ms, mfu 31.82%
iter 1630: loss 0.4342, time 111.83ms, mfu 31.95%
iter 1640: loss 0.4378, time 115.72ms, mfu 31.96%
iter 1650: loss 0.4934, time 115.66ms, mfu 31.97%
iter 1660: loss 0.4976, time 117.30ms, mfu 31.93%
iter 1670: loss 0.4951, time 117.92ms, mfu 31.88%
iter 1680: loss 0.5061, time 112.68ms, mfu 31.99%
iter 1690: loss 0.4118, time 117.49ms, mfu 31.94%
iter 1700: loss 0.5195, time 115.83ms, mfu 31.95%
iter 1710: loss 0.3677, time 117.65ms, mfu 31.91%
iter 1720: loss 0.4494, time 117.45ms, mfu 31.87%
iter 1730: loss 0.5006, time 119.91ms, mfu 31.78%
iter 1740: loss 0.4374, time 117.28ms, mfu 31.76%
iter 1750: loss 0.4648, time 115.88ms, mfu 31.78%
iter 1760: loss 0.4501, time 116.88ms, mfu 31.78%
iter 1770: loss 0.4311, time 120.28ms, mfu 31.68%
iter 1780: loss 0.4892, time 104.52ms, mfu 32.06%
iter 1790: loss 0.4148, time 118.29ms, mfu 31.99%
iter 1800: loss 0.5217, time 115.63ms, mfu 32.00%
iter 1810: loss 0.4738, time 116.97ms, mfu 31.97%
iter 1820: loss 0.4409, time 119.22ms, mfu 31.88%
iter 1830: loss 0.3767, time 116.15ms, mfu 31.89%
iter 1840: loss 0.4617, time 122.39ms, mfu 31.73%
iter 1850: loss 0.4862, time 123.95ms, mfu 31.54%
iter 1860: loss 0.4246, time 118.38ms, mfu 31.52%
iter 1870: loss 0.4261, time 116.69ms, mfu 31.55%
iter 1880: loss 0.4153, time 119.27ms, mfu 31.50%
iter 1890: loss 0.4598, time 120.84ms, mfu 31.42%
iter 1900: loss 0.4940, time 115.02ms, mfu 31.50%
iter 1910: loss 0.3694, time 117.23ms, mfu 31.51%
