Overriding config with config/train_abc_char_medium.py:
# config/train_abc_char_medium.py
from config.train_abc_char_base import *

out_dir = 'out-abc-char-medium'

n_layer = 6
n_head = 6
n_embd = 384
dropout = 0.1

tokens per iteration will be: 65,536
found vocab_size = 99 (inside data/abc_char/meta.pkl)
Initializing a new model from scratch
number of parameters: 10.66M
num decayed parameter tensors: 26, with 10,851,456 parameters
num non-decayed parameter tensors: 13, with 4,992 parameters
using fused AdamW: True
compiling the model... (takes a ~minute)
step 0: train loss 4.6988, val loss 4.6964
iter 0: loss 4.6805, time 18029.95ms, mfu -100.00%
iter 10: loss 3.4737, time 50.55ms, mfu 32.46%
iter 20: loss 2.6292, time 95.30ms, mfu 30.93%
iter 30: loss 2.1917, time 101.96ms, mfu 29.45%
iter 40: loss 1.9418, time 94.18ms, mfu 28.25%
iter 50: loss 1.8947, time 65.59ms, mfu 27.92%
iter 60: loss 1.7676, time 61.72ms, mfu 27.79%
iter 70: loss 1.5176, time 69.95ms, mfu 27.36%
iter 80: loss 1.7129, time 43.95ms, mfu 28.35%
iter 90: loss 1.4810, time 65.69ms, mfu 28.02%
iter 100: loss 1.4703, time 78.06ms, mfu 27.32%
iter 110: loss 1.4421, time 95.25ms, mfu 26.31%
iter 120: loss 1.4126, time 97.78ms, mfu 25.36%
iter 130: loss 1.5439, time 96.49ms, mfu 24.52%
iter 140: loss 1.3880, time 95.89ms, mfu 23.78%
iter 150: loss 1.2220, time 92.96ms, mfu 23.17%
iter 160: loss 1.3652, time 97.81ms, mfu 22.53%
iter 170: loss 1.2993, time 57.66ms, mfu 23.12%
iter 180: loss 1.3631, time 95.35ms, mfu 22.53%
iter 190: loss 1.4183, time 52.25ms, mfu 23.42%
iter 200: loss 1.4107, time 96.32ms, mfu 22.78%
iter 210: loss 1.2367, time 93.41ms, mfu 22.26%
iter 220: loss 1.3234, time 59.87ms, mfu 22.77%
iter 230: loss 1.1639, time 89.38ms, mfu 22.33%
iter 240: loss 1.2514, time 98.89ms, mfu 21.76%
iter 250: loss 1.3311, time 62.67ms, mfu 22.20%
iter 260: loss 1.2377, time 94.87ms, mfu 21.71%
iter 270: loss 1.2605, time 96.68ms, mfu 21.24%
iter 280: loss 1.2013, time 101.90ms, mfu 20.72%
iter 290: loss 1.0716, time 94.24ms, mfu 20.39%
iter 300: loss 1.1442, time 90.61ms, mfu 20.16%
iter 310: loss 1.1694, time 57.32ms, mfu 21.01%
iter 320: loss 1.0785, time 92.08ms, mfu 20.69%
iter 330: loss 1.2094, time 70.98ms, mfu 20.93%
iter 340: loss 1.1635, time 93.94ms, mfu 20.59%
iter 350: loss 1.0392, time 96.94ms, mfu 20.22%
iter 360: loss 1.0791, time 95.07ms, mfu 19.92%
iter 370: loss 0.9884, time 95.90ms, mfu 19.64%
