Overriding config with config/train_abc_char_small.py:
# config/train_abc_char_small.py
from config.train_abc_char_base import *

out_dir = 'out-abc-char-small'

n_layer = 4
n_head = 4
n_embd = 256
dropout = 0.1

tokens per iteration will be: 65,536
found vocab_size = 99 (inside data/abc_char/meta.pkl)
Initializing a new model from scratch
number of parameters: 3.17M
num decayed parameter tensors: 18, with 3,302,144 parameters
num non-decayed parameter tensors: 9, with 2,304 parameters
using fused AdamW: True
compiling the model... (takes a ~minute)
step 0: train loss 4.5902, val loss 4.5847
iter 0: loss 4.5868, time 14143.28ms, mfu -100.00%
iter 10: loss 4.0819, time 70.73ms, mfu 7.52%
iter 20: loss 3.4182, time 67.71ms, mfu 7.56%
iter 30: loss 3.0345, time 40.82ms, mfu 8.10%
iter 40: loss 2.3372, time 48.79ms, mfu 8.38%
iter 50: loss 2.4089, time 46.44ms, mfu 8.69%
iter 60: loss 2.1907, time 76.53ms, mfu 8.52%
iter 70: loss 2.0977, time 73.32ms, mfu 8.39%
iter 80: loss 1.8667, time 56.74ms, mfu 8.49%
iter 90: loss 1.7432, time 78.05ms, mfu 8.32%
iter 100: loss 1.7225, time 70.64ms, mfu 8.24%
iter 110: loss 1.6211, time 47.41ms, mfu 8.54%
iter 120: loss 1.6749, time 57.01ms, mfu 8.62%
iter 130: loss 1.6789, time 71.04ms, mfu 8.51%
iter 140: loss 1.4466, time 52.56ms, mfu 8.67%
iter 150: loss 1.4703, time 55.49ms, mfu 8.76%
iter 160: loss 1.4427, time 76.74ms, mfu 8.58%
iter 170: loss 1.2683, time 78.73ms, mfu 8.40%
iter 180: loss 1.4175, time 67.49ms, mfu 8.35%
iter 190: loss 1.4152, time 68.27ms, mfu 8.29%
iter 200: loss 1.4515, time 73.34ms, mfu 8.19%
iter 210: loss 1.3775, time 62.13ms, mfu 8.22%
iter 220: loss 1.4057, time 71.19ms, mfu 8.15%
iter 230: loss 1.4222, time 71.15ms, mfu 8.08%
iter 240: loss 1.3135, time 70.31ms, mfu 8.03%
iter 250: loss 1.3881, time 72.68ms, mfu 7.96%
iter 260: loss 1.2762, time 78.94ms, mfu 7.84%
iter 270: loss 1.3735, time 79.38ms, mfu 7.72%
iter 280: loss 1.2852, time 77.96ms, mfu 7.63%
iter 290: loss 1.4084, time 67.47ms, mfu 7.66%
iter 300: loss 1.3525, time 75.77ms, mfu 7.60%
iter 310: loss 1.3579, time 71.45ms, mfu 7.58%
iter 320: loss 1.3006, time 71.64ms, mfu 7.57%
iter 330: loss 1.2284, time 73.40ms, mfu 7.53%
iter 340: loss 1.2858, time 38.74ms, mfu 8.15%
