Overriding config with config/train_abc_char_tiny.py:
# config/train_abc_char_tiny.py
from config.train_abc_char_base import *

out_dir = 'out-abc-char-tiny'

n_layer = 2
n_head = 2
n_embd = 128
dropout = 0.1

tokens per iteration will be: 65,536
found vocab_size = 99 (inside data/abc_char/meta.pkl)
Initializing a new model from scratch
number of parameters: 0.41M
num decayed parameter tensors: 10, with 471,424 parameters
num non-decayed parameter tensors: 5, with 640 parameters
using fused AdamW: True
compiling the model... (takes a ~minute)
step 0: train loss 4.6040, val loss 4.5994
iter 0: loss 4.5736, time 13127.33ms, mfu -100.00%
iter 10: loss 4.5211, time 47.85ms, mfu 1.76%
iter 20: loss 4.3028, time 50.54ms, mfu 1.75%
iter 30: loss 4.0354, time 48.90ms, mfu 1.75%
iter 40: loss 3.8450, time 53.87ms, mfu 1.73%
iter 50: loss 3.6504, time 46.41ms, mfu 1.74%
iter 60: loss 3.4561, time 50.09ms, mfu 1.73%
iter 70: loss 3.2377, time 51.11ms, mfu 1.72%
iter 80: loss 3.1129, time 47.74ms, mfu 1.73%
iter 90: loss 3.0339, time 50.85ms, mfu 1.72%
iter 100: loss 2.8202, time 54.31ms, mfu 1.70%
iter 110: loss 2.5497, time 48.00ms, mfu 1.71%
iter 120: loss 2.4297, time 48.46ms, mfu 1.71%
iter 130: loss 2.4454, time 54.22ms, mfu 1.70%
iter 140: loss 2.2439, time 46.71ms, mfu 1.71%
iter 150: loss 2.3256, time 43.31ms, mfu 1.73%
iter 160: loss 2.0110, time 50.69ms, mfu 1.72%
iter 170: loss 2.0698, time 50.07ms, mfu 1.72%
iter 180: loss 1.7737, time 51.68ms, mfu 1.71%
iter 190: loss 1.7823, time 50.40ms, mfu 1.71%
iter 200: loss 1.7380, time 51.25ms, mfu 1.70%
iter 210: loss 1.8607, time 50.12ms, mfu 1.70%
iter 220: loss 1.6900, time 49.91ms, mfu 1.70%
iter 230: loss 1.6436, time 51.48ms, mfu 1.69%
iter 240: loss 1.5080, time 27.35ms, mfu 1.83%
iter 250: loss 1.6032, time 52.39ms, mfu 1.81%
iter 260: loss 1.6041, time 50.13ms, mfu 1.80%
iter 270: loss 1.6668, time 47.24ms, mfu 1.79%
iter 280: loss 1.5742, time 52.41ms, mfu 1.78%
iter 290: loss 1.5569, time 53.32ms, mfu 1.76%
iter 300: loss 1.4809, time 48.52ms, mfu 1.75%
iter 310: loss 1.5309, time 40.74ms, mfu 1.79%
iter 320: loss 1.4210, time 52.57ms, mfu 1.77%
iter 330: loss 1.4506, time 44.21ms, mfu 1.78%
iter 340: loss 1.4998, time 52.31ms, mfu 1.76%
iter 350: loss 1.4422, time 46.60ms, mfu 1.77%
iter 360: loss 1.4825, time 33.34ms, mfu 1.84%
